Link,School,School Rank,price,Bedrooms,Bathrooms,Car Spaces,type,availability,address,suburb,inspection_date,inspection_time_start,inspection_time_end,description para,Agent_Name,Agent_Phone,Agent_Email,Price Category,
https://www.realestate.com.au/425322966,Balwyn Primary School,16,Chris Snell,1,,Rentals Available 350_480,"
Two bedroom apartment close to transport - This amazing apartment is situated in a luxurious building that features, a theatre room, formal dining room, a gym and yoga area, a lounge area and outdoor entertaining area all for your use.
- 2 bedroom apartment
- Open plan kitchen living area with timber flooring
- Quality fittings and appliances
- Double glazed windows
- Secure car space
Located conveniently beside the tram stop (route 109), and within walking distance to Woolworths, local parks, restaurants and schools nearby. An easy drive into the City of Melbourne
Secure your inspection today - rentals@chrissnell.com.au or use contact agent button.",4a575a558144a8b0a4670d8690fdf4b6%40lockedoncloud.com,$490 Per Week,2,Balwyn,https://www.realestate.com.au/425322966,0418 328 961,237/188 Whitehorse Road,,Apartment,Available Now,,1
https://www.realestate.com.au/425317158,Balwyn Primary School,16,Jane Yuan,1,,Rentals Available 350_480,"
ARRANGE AN INSPECTION NOW! TO BOOK A TIME TO INSPECT, SIMPLY CLICK ON BOOK AN INSPECTION OR EMAIL AGENT. BY REGISTERING, YOU WILL BE INSTANTLY INFORMED OF ANY UPDATES, DELAYS, CHANGES OR CANCELLATIONS FOR YOUR APPOINTMENT.
Surrounded by luscious planted terraces, courtyards and common areas and located in one of Melbourne's greenest suburbs - Botanica Balwyn is the place to be.
This exceptionally spacious and light filled 1 bedroom apartment is the latest addition to this blue-chip suburb and showcase:
Open-plan marble/Miele kitchen overlooking a substantial meals/living zone
1 spacious bedroom with built in robes, complemented by 1 vogue bathroom and Euro laundry 
Private courtyard outside the living room with plenty of room for entertaining
Engineered timber flooring, split system heating & cooling
Secure basement car parking and storage cage
Access to communal rooftop garden terrace, gym and a library
This inviting location is perfectly positioned 
Opposite Balwyn Cinema
Moments from boutique cafes
A short stroll from central Balwyn shops
Tram stop on your doorstep 
Parkland, walking trails and a
...
show more",inspections.ire%40motionproperty.com.au,$410 per week,1,Balwyn,https://www.realestate.com.au/425317158,1300 850 730,1G01 (G01)/188 Whitehorse Road,,Apartment,Wed 09-Jan-19,,1
https://www.realestate.com.au/425264910,Balwyn Primary School,16,Amy Mayes,1,,Rentals Available 350_480,"
This one bedroom apartment in the heart of Balwyn is walking distance to everything you need from public transport, cafes and restaurants. Special features include: stone bench tops, stainless steel appliances including a dishwasher, bedroom with built-in robes, open plan dining/living area, reverse cycle air-conditioning and European laundry. Other features include; private balcony, secure basement car park, storage cage, outdoor communal building space with seating and BBQs for entertaining.",,$385 per week,1,Balwyn,https://www.realestate.com.au/425264910,1300 141 888,210/182  Whitehorse Road,,Unit,Available Now,,1
https://www.realestate.com.au/420039642,Balwyn Primary School,16,Adam Foley,1,,Rentals Available 350_480,"
This state of the art building is simply amazing, with features including:
 Theatre Room
 Gym & Yoga areas
 Rooftop entertaining/BBQ area
This lovely light filled apartment is the latest in luxury apartment living with open plan living/kitchen, engineered floorboards, double glazed windows, reverse cycle heating/cooling, great size bedroom with built-in-robes and a study nook. Other features include a stylish bathroom, European laundry, kitchen with great cupboard space and DW, a spacious balcony and intercom security. The apartment also comes with 1 secure carspace and storage cage.
In this sought after location with transport, parks, shops, cafes, restaurants, schools and easy access to CBD all at your door step this will not last long!
Be quick and arrange an inspection today. Call agent  9848 5755",adam%40dawsonrealestate.com.au,$410 per week,1,Balwyn,https://www.realestate.com.au/420039642,03 9848 5755,109/188 Whitehorse Road,,Apartment,Tue 15-Jan-19,,1
https://www.realestate.com.au/425463154,Balwyn Primary School,16,https://www.realestate.com.au/425463154,$370 per Week,1,1,Apartment,Tue 29-Jan-19,306/188 Whitehorse Road,Balwyn, , to arrange an appointment., to arrange an appointment.,"
Open Inspection: TBA
Please register to inspect this property. When inspection times are scheduled/changed or the property is no longer available, only those registered will be advised.
A range of 1 bedroom apartments, featuring stylish hardwood timber flooring and ample storage space. The air-conditioned living space is well designed with glass sliding doors opening to your own private balcony creating a spacious open and bright atmosphere that is guaranteed to impress. All carpeted bedrooms are generous in size and have built in robes for your storing needs. The state of the art kitchen has stone bench tops, tiled splashbacks, gas appliances and dishwasher. The apartment offers, large modern bathrooms, with separate European laundry facilities. You will have access a full gym facility, communal BBQ/lounge area on a rooftop terrace along with a cinema area for all your social needs.
Located right on Melbourne's iconic Whitehorse Road, just across the street from the landmark Balwyn Cinema, these luxury apartments sit in the heart of Balwyn. Whitehorse Road is home to many boutique cafes and shops for your social needs and just a short stroll to Parkland,
...
show more",Sarah Martin,9818 8991,enquiries%40melbpm.com.au,Rentals Available 350_480,2
https://www.realestate.com.au/425275234,Kew East Primary School,19,$360pw / $1564pcm,2,1,1,Apartment,Available Now,3/4 Clyde Street,Kew East,22/12/2018,1:45:00 PM,2:00:00 PM,"
*** OPEN FOR INSPECTION SATURDAY 22ND DECEMBER BETWEEN 1:45-2:00PM ***
*** OPEN FOR INSPECTION THURSDAY 27TH DECEMBER BETWEEN 10:30-10:45AM ***
To book an inspection for this property, please click on the Email Agent tab and we will respond instantly with available inspection times.  You must register to inspect.
Set at the rear of the block of only six apartments this ground floor spacious property ticks all the boxes. It has great size lounge room with private large balcony and gas heating, kitchen ( gas cooking ) with meals area, two big bedrooms with built in robes, bathroom with shower over bath and washing machine taps also in bathroom. Off street carport.  Fantastic location, so close to Harp Road restaurants, shops and trams.",Tayla Hewitt,0413 630 541,,Rentals Available 350_480,1
https://www.realestate.com.au/425296542,Merri Creek Primary School,20,$395 per week,2,1,,Apartment,Available Now,2/111 Miller Street,Fitzroy North,22/12/2018,10:00:00 AM,10:15:00 AM,"
This two bedroom apartment is located on the ground floor and is closely positioned to all the finest areas of Fitzroy.
* Two spacious bedrooms, one with built-in robe
* Light filled living room with electric heating
* Modern kitchen with gas cooking and ample cupboard space
* Bathroom with shower recess, vanity basin and laundry taps
* Off street parking for one car",Raquel Guerra,1300 548 853,littlevic%40mail.inspectrealestate.com.au,Rentals Available 350_480,1
https://www.realestate.com.au/425330070,Blackburn Lake Primary School,22,$350 per week,1,1,1,Unit,Thu 27-Dec-18,2/14 Bessazile Avenue,Forest Hill,22/12/2018,1:20:00 PM,1:35:00 PM,"
Set in a quiet block of only 4 units is this unique 1 Bedroom unit.  It comprises of: Good size lounge with gas heater, Kitchen with gas appliances and meal area, Double bedroom with built in robes, Bathroom with shower over bath and separate WC, Laundry with access to courtyard. Other features include single carport and a short walk to the local shopping precinct.",Harriet Wallace,0414 263 472,inspections.doncaster%40jelliscraig.com.au,Rentals Available 350_480,1
https://www.realestate.com.au/425437218,Blackburn Lake Primary School,22,https://www.realestate.com.au/425437218,$450 per week,3,1,2,House,Available Now,18 Laughlin  Avenue,Nunawading,Sat 29 Dec,11:45AM , 12:00PM,"
**** IMPORTANT! REGISTER TO INSPECT PROPERTIES **** 
Please register your details and you will be INSTANTLY informed of 
any updates, changes or cancellations to inspections. 
If no one registers for an inspection time then that inspection does not proceed. 
Please note that we do not release keys. 
Located walking distance to Nunawading train station, this spacious house offered all the convenience you need. 
This three bedroom House comprise: 
- 3 Spacious bedrooms, two with build in robes
- Original bathroom with separate toilet 
- Formal lounge and dining room 
- Original kitchen with plenty cupboard space 
- A superb location within the heart of Nunawading, local shops and 5 mins walk to Nunawading Christian College
Further feature including 
- Split air conditioning 
- Single Garage 
To secure yourself an inspection, please click Book an inspection time on this web listing.  For enquiries click email agent. To apply online via 1form click on the Apply Online icon and follow the steps.",Lorna Zhou,0455 929 666,lzhou%40buxton.com.au,1
https://www.realestate.com.au/425319770,Blackburn Lake Primary School,22,https://www.realestate.com.au/425319770,$390 per week,3,1,1,House,Available Now,20 Jackson Street,Forest Hill,Sat 29 Dec,10:00AM , 10:15AM,"
Walking distance to Forest Hill Chase Shopping Centre. Take the bus to Nunawading train station.
Features include: 
* 3 bedrooms
* Kitchen & meals area
* Separate lounge room
* Carpeted bedrooms
* Rear Yard
* SLUG
ARRANGING AN INSPECTION IS EASY!
TO REGISTER: Simply click on Email Agent to register instantly using our online system.
By registering, you will be informed of any updates, changes or cancellations.
PHOTO ID REQUIRED AT ALL INSPECTIONS 
PLEASE NOTE: Open for Inspection Times and Property Availability is subject to change or cancellation without notice.",Vincent Ye,0413790052,reception.boxhill%40noeljones.com.au,2
https://www.realestate.com.au/425460062,Donburn Primary School,26,https://www.realestate.com.au/425460062,$380 per week,2,1,,Townhouse,Sat 12-Jan-19,8/30-34 Old Warrandyte Road,Donvale,Sat 29 Dec,10:45AM , 11:00AM,"
** VIEW SAT 29 DEC 10.45-11.00 OR BOOK INSPECTION ONLINE **
If you are looking for a convenient house for your small family, this will be the one. This townhouse contained two good size bedrooms, lounge room and kitchen/meal room. Only minutes away from The Pine, Donvale Reserve and direct bus to CBD. Would this the lifestyle you after?
Click BOOK INSPECTION button to register and we will instantly respond with an available inspection time. 
PLEASE ENSURE: you are REGISTERED as Open for Inspection times are subject to change or cancellation without notice and we want you to be notified if this occurs. Photo ID is required at inspections. You can obtain an application from our website, from the Agent at the OFI or apply via 1Form. Rent is to be paid per calendar month.",Brook Chuang,03 9805 1111,bchuang%40woodards.com.au,Rentals Available 350_480
https://www.realestate.com.au/420861806,Donburn Primary School,26,https://www.realestate.com.au/420861806,$395 per week,3,1,1,House,Available Now,279 Blackburn Road,Doncaster East,Thu 3 Jan,12:30PM , 12:40PM,"
Centrally located within minutes to Westfield Doncaster, Box Hill Central and Donburn Shops, this family home is in an ideal position. Flexible floorplans, offering light-filled living and dining spaces, a functional kitchen with gas cooking and ample storage. Original bathroom with separate shower and bath. Three sizable bedrooms with built in robes and internal laundry. Additional features include: gas heating unit, hardwood floors, leafy front yard with patio area, and large backyard with plenty of room for the kids to run around and play chase on the warm autumn afternoons. Off street parking for two plus cars. Convenience is at your fingertips, walk to local Donburn shops, East Doncaster Secondary and enjoy the easy access to The Pines, Eastern freeway, local public transport, as well as Zerbes and Marsden Crescent Reserves.
Pets will be considered upon application for this property.",Michelle Jansen,0437695848,mjansen%40philipwebb.com.au,Rentals Available 350_480
https://www.realestate.com.au/425228594,Ivanhoe Primary School,28,$400 per week,2,1,2,Unit,Available Now,8/15 Ashby Grove,Ivanhoe,Sat 22 Dec,1:00PM , 1:15PM,"
Open For Inspection: Saturday 22nd of December 1:00pm - 1:15pm
To book an inspection for this property, please click on the Email Agent tab and we will respond instantly with available inspection times.
Meticulously maintained single-level villa unit desirably located only a gentle stroll to Eaglemont village. Sure to impress you need to look no further. Spotlessly clean and bright throughout, there are two great sized bedrooms with BIR'S, large lounge room, functional kitchen with meals area,central bathroom with separate toilet and separate laundry. Other features include gas heating, and private low maintenance courtyard garden and single garage with a second carspace at the front. All set amongst pretty garden settings - Don't miss out!",Nikolas Psevdos,0455 954 774,,Rentals Available 350_480,Rentals Available 350_480
https://www.realestate.com.au/424941582,Ivanhoe Primary School,28,$500 per week,3,1,1,Townhouse,Available Now,5/28 Myrtle Street,Ivanhoe,Sat 22 Dec,3:15PM , 3:30PM,"
**ARRANGE AN INSPECTION TIME ONLINE  DETAILS BELOW**
This peaceful  3  bedroom townhouse provides sensational, low maintenance living in a highly sought-after location, designed for a contemporary lifestyle with free-flowing space. 
Downstairs consists of an open plan living with a spacious dining area, a bright kitchen with gas appliance, a large laundry that flows through to your private courtyard. Upstairs three decent sized bedrooms (BIRs; huge main with WIR) with each bedroom consisting their own spilt system, bright study nook and a renovated bathroom. 
Situated within a stone throw to Northland and Ivanhoe shopping centers, Heidelberg and Ivanhoe train stations, private schooling, Austin and Mercy hospitals and La Trobe University, call today to inspect!
Fully Furnished option also available for $550 per week. 
Arranging an inspection is simple!
To book a time to inspect or register to attend, simply click on Book an Inspection Time or Email Agent to instantly book using our online system.
By registering you will be automatically informed of any updates, changes or cancellations of your appointment.",Maha Yehia,0448 019 444,"innercityrentals%40ire.com.au,capture%40innerrealestate.agentboxmail.com.au",Rentals Available 350_480,Rentals Available 350_480
https://www.realestate.com.au/425468846,Ivanhoe Primary School,28,https://www.realestate.com.au/425468846,$350 per week,2,1,Apartment,Wed 23-Jan-19,7/125 Locksley Road,Eaglemont, , to arrange an appointment., to arrange an appointment.,"
To inspect, please see instructions below.
First floor apartment offering two good sized bedrooms, main bedroom with built-in robes. The apartment also comprises lounge and meals area, with balcony looking over lovely tree lined street, modern kitchen with gas cooking and plenty of cupboard space, bathroom with shower, toilet and laundry facilities. 
In a lovely block with security entrance, this apartment is only a very short walk to Ivanhoe or Eaglemont train stations and Ivanhoe shops and restaurants. 
Do not miss the opportunity to inspect!
First inspection to be the week of 7th January. 
Arranging an inspection time is easy! 
Simply click 'Book Inspection' button to register for an inspection, or use the 'Contact Agent' facility.
By registering, you will instantly be informed of any updates, changes or cancellations to your appointment. You must enter your details to book an inspection time.",Jessica McFarlane,03 9490 0515,jmcfarlane%40milesre.com.au,Rentals Available 350_480,Rentals Available 350_480
https://www.realestate.com.au/425358658,Ivanhoe Primary School,28,https://www.realestate.com.au/425358658,$420 per week,2,1,Unit,Thu 17-Jan-19,6/46 Locksley Road,Ivanhoe, , to arrange an appointment., to arrange an appointment.,"
*****IMPORTANT REGISTER TO INSPECT PROPERTIES *******
Nestled ever so peacefully toward the rear of an impeccable garden group, this smartly styled villa's spacious, light filled proportions and easy walking convenience to a host of amenities. Just a short stroll from Chelsworth and Yarra River Parklands, central Ivanhoe shopping, trains, buses and schools, wonderfully appealing updated accommodation includes a beautifully bright living room, northern focused kitchen featuring gas cooking and meals zone, two double bedrooms both with built in robes, full bathroom with laundry facilities, private outdoor spaces, gas heater, air conditioner and a conveniently positioned car space right out the front.
**** BOOK ONLINE NOW TO INSPECT ****
Simply click EMAIL AGENT and well respond instantly with available appointment times.
Register to confirm your chosen inspection times so that we can advise you of any changes or alternatively you can suggest your own time and we will confirm.",Maria Kominakis,03 9533 0999,inspections%40hodgescaulfield.com.au,Rentals Available 350_480,Rentals Available 350_480
https://www.realestate.com.au/425353158,Ivanhoe Primary School,28,https://www.realestate.com.au/425353158,$450 per week,3,1,House,Sat 19-Jan-19,115 Hawker Street,Ivanhoe, , to arrange an appointment., to arrange an appointment.,"
This three bedroom weatherboard home in Ivanhoe is calling out for its new tenant to move in and proudly start calling this property home.  Walk through the front door to the spacious lounge room with polished floorboards, gas heating and cooling.  Three generously sized bedrooms (main with BIR) and all with loads of natural light.  The main central bathroom comprises spacious shower and toilet.  The large kitchen/meals area comprises ample cupboard and bench space and overlooks the backyard.  There is a separate laundry as well as separate second toilet.  The backyard is perfect for those craving some outdoor space perhaps for children or pets (pets permitted).  There is also a shed/workshop.  Get in quick to secure this three bedroom home in Ivanhoe with backyard, floorboards, heating and cooling and all at an affordable price range.",Daniel Stocco,0409 180 845,admin%40thomasquixley.com.au,Rentals Available 350_480,Rentals Available 350_480
https://www.realestate.com.au/425044042,Kerrimuir Primary School,29,$490 Per Week,4,2,2,House,Available Now,66 Springfield Road,Box Hill North,Sat 22 Dec,10:45AM , 11:00AM,"
When Convenience is what you are after, look no further! A classic home set on a generous block of land of approximately 723sqm, with four bedrooms (including a self contained unit at the back), two large separate living areas, laundry, a car garage with car space for more on pavement, garden shed, a tidy backyard with ample space topped off with a well established lemon tree for fresh organic produce! 
A stone throw away from Kerrimuir Shops, where everything you need from groceries, cafes, post office, newsagents to shops and even Maccas and Red Rooster just around the corner! Venture out a little further, and you would find Blackburn North Shopping Centre, Old Orchard Primary, Blackburn High School, and Springfield Park just minutes away! Hop on the many busses on Middleborough Road, and commute to the CBD, Westfield Doncaster, Mitcham, Blackburn Train Station, Box Hill Central, the choice is yours!!! Last but not least, if driving is part of your routine, the location of this home provides easy access to the M3 Eastern Freeway, connecting you to the City and Eastlink.
Inspection times as advertised. For more information or a private inspection, please contact
...
show more",William Woo,412389211,williamwoo%40lawsonyoung.com.au,Rentals Available 350_480,Rentals Available 350_480
